model,partition,subtask,fold,nll,accuracy,abs_error,prop_best,worst,best,aarons_metric
f,a,b,0,0.7854,0.6479,,0.9746,0.5473,0.6648,0.8562
f,a,b,1,0.8046,0.6478,,0.9882,0.5085,0.6555,0.9476
f,a,b,2,0.7809,0.6713,,0.9727,0.5901,0.6901,0.812
f,a,b,3,0.7933,0.6663,,0.9838,0.5595,0.6773,0.9066
f,a,b,4,0.7504,0.6789,,0.9939,0.5393,0.6831,0.9708
f,p,b,0,0.7976,0.6554,,0.9939,0.5617,0.6594,0.9591
f,p,b,1,0.7689,0.671,,0.9894,0.5712,0.6782,0.9327
f,p,b,2,0.7976,0.6471,,0.9618,0.5355,0.6728,0.8128
f,p,b,3,0.7791,0.6575,,0.9982,0.5508,0.6587,0.9889
f,p,b,4,0.7878,0.6628,,0.9885,0.5421,0.6705,0.94
f,s,b,0,0.8494,0.6488,,0.9861,0.6476,0.6579,0.1165
f,s,b,1,0.8403,0.6193,,0.9831,0.5912,0.6299,0.7261
f,s,b,2,0.8144,0.6226,,0.9214,0.4921,0.6757,0.7108
f,s,b,3,0.7816,0.6459,,0.9396,0.4933,0.6874,0.7862
f,s,b,4,0.7545,0.7283,,0.9837,0.5223,0.7404,0.9445
f,r,b,0,0.7887,0.6665,,0.9831,0.5473,0.678,0.912
f,r,b,1,0.7594,0.6735,,0.9954,0.5514,0.6766,0.9752
f,r,b,2,0.795,0.6555,,0.9798,0.5545,0.669,0.8821
f,r,b,3,0.7781,0.6656,,0.9932,0.5555,0.6702,0.9599
f,r,b,4,0.783,0.6623,,0.9897,0.5545,0.6692,0.9398
i,a,a,0,1.0828,0.4503,,0.6928,0.5473,0.65,-0.9445
i,a,b,0,0.8148,0.6447,,0.9734,0.5473,0.6623,0.847
i,a,a,1,1.2616,0.4444,,0.7351,0.5085,0.6045,-0.6677
i,a,b,1,0.808,0.6403,,0.9821,0.5085,0.652,0.9185
i,a,a,2,1.1191,0.4783,,0.7099,0.5901,0.6738,-1.3357
i,a,b,2,0.8131,0.6273,,0.9225,0.5901,0.68,0.4138
i,a,a,3,1.2318,0.4592,,0.692,0.5595,0.6636,-0.9635
i,a,b,3,0.8473,0.6106,,0.9099,0.5595,0.6711,0.4579
i,a,a,4,1.1545,0.4633,,0.7044,0.5393,0.6577,-0.6419
i,a,b,4,0.7975,0.6598,,0.9803,0.5393,0.6731,0.9006
i,p,a,0,0.7088,0.6929,,1.058,0.5617,0.6549,1.4077
i,p,b,0,0.8091,0.6484,,0.9895,0.5617,0.6553,0.9263
i,p,a,1,0.6912,0.6995,,1.0135,0.5712,0.6902,1.0782
i,p,b,1,0.7843,0.6673,,0.9836,0.5712,0.6784,0.8965
i,p,a,2,0.6974,0.6997,,1.045,0.5355,0.6696,1.2245
i,p,b,2,0.7914,0.6447,,0.9594,0.5355,0.672,0.8
i,p,a,3,0.6818,0.6996,,1.0548,0.5508,0.6633,1.3227
i,p,b,3,0.7722,0.6661,,1.0028,0.5508,0.6642,1.0168
i,p,a,4,0.6956,0.702,,1.0477,0.5421,0.67,1.2502
i,p,b,4,0.7949,0.6585,,0.9836,0.5421,0.6695,0.9137
i,s,a,0,0.7803,0.6751,,1.0302,0.6476,0.6553,3.5714
i,s,b,0,0.8772,0.6449,,0.9814,0.6476,0.6571,-0.2842
i,s,a,1,0.8029,0.6426,,1.0234,0.5912,0.6279,1.4005
i,s,b,1,0.8546,0.6048,,0.9595,0.5912,0.6303,0.3478
i,s,a,2,0.7428,0.666,,0.9923,0.4921,0.6712,0.971
i,s,b,2,0.7985,0.6644,,0.9871,0.4921,0.6731,0.9519
i,s,a,3,0.6585,0.6984,,1.022,0.4933,0.6834,1.0789
i,s,b,3,0.7323,0.6567,,0.9604,0.4933,0.6838,0.8577
i,s,a,4,0.6867,0.7382,,1.0001,0.5223,0.7381,1.0005
i,s,b,4,0.7975,0.7256,,0.9807,0.5223,0.7399,0.9343
i,r,a,0,0.6945,0.7026,,1.0403,0.5473,0.6754,1.2123
i,r,b,0,0.8033,0.6472,,0.9561,0.5473,0.6769,0.7708
i,r,a,1,0.6909,0.7033,,1.044,0.5514,0.6737,1.242
i,r,b,1,0.7838,0.6705,,0.9935,0.5514,0.6749,0.9644
i,r,a,2,0.7052,0.6883,,1.0337,0.5545,0.6659,1.2011
i,r,b,2,0.7987,0.6593,,0.985,0.5545,0.6693,0.9129
i,r,a,3,0.7012,0.6975,,1.0444,0.5555,0.6678,1.2645
i,r,b,3,0.7964,0.6554,,0.9819,0.5555,0.6675,0.892
i,r,a,4,0.7108,0.6927,,1.0402,0.5545,0.6659,1.2406
i,r,b,4,0.8158,0.6409,,0.962,0.5545,0.6662,0.7735
s,a,a,0,1.0836,0.4422,,0.6707,0.5473,0.6593,-0.9384
s,a,b,0,0.8901,0.5887,,0.8881,0.5473,0.6629,0.3581
s,a,a,1,1.0998,0.5632,,0.5632,0.5085,1.0,0.1113
s,a,b,1,0.9341,0.4988,,0.7964,0.5085,0.6263,-0.0823
s,a,a,2,1.109,0.313,,0.4703,0.5901,0.6655,-3.6751
s,a,b,2,0.8593,0.633,,0.925,0.5901,0.6843,0.4554
s,a,a,3,1.1148,0.307,,0.4659,0.5595,0.6589,-2.5402
s,a,b,3,0.8775,0.6101,,0.9006,0.5595,0.6774,0.4292
s,a,a,4,1.0997,0.3491,,0.5294,0.5395,0.6594,-1.588
s,a,b,4,0.853,0.5618,,0.8259,0.5395,0.6802,0.1585
s,p,a,0,0.7389,0.6783,,1.0361,0.5617,0.6547,1.2538
s,p,b,0,0.8658,0.6287,,0.9577,0.5617,0.6565,0.7068
s,p,a,1,0.7545,0.6582,,0.9751,0.5712,0.675,0.8382
s,p,b,1,0.8987,0.571,,0.8464,0.5712,0.6746,-0.0019
s,p,a,2,0.7788,0.6548,,0.9799,0.5355,0.6682,0.899
s,p,b,2,0.9228,0.5355,,0.806,0.5355,0.6644,0.0
s,p,a,3,0.7547,0.6615,,0.9971,0.5508,0.6634,0.9831
s,p,b,3,0.8971,0.5517,,0.8316,0.5508,0.6634,0.008
s,p,a,4,0.7256,0.6761,,1.0104,0.5421,0.6691,1.0551
s,p,b,4,0.8721,0.6292,,0.9392,0.5421,0.6699,0.6815
s,s,a,0,0.8105,0.6666,,1.0157,0.6476,0.6563,2.1839
s,s,b,0,0.9617,0.654,,0.9936,0.6476,0.6582,0.6038
s,s,a,1,0.9276,0.5433,,0.8631,0.5912,0.6295,-1.2507
s,s,b,1,0.9143,0.5913,,0.9386,0.5912,0.63,0.0026
s,s,a,2,0.8454,0.6071,,0.9037,0.4921,0.6718,0.64
s,s,b,2,0.9072,0.497,,0.7397,0.4921,0.6719,0.0273
s,s,a,3,0.8021,0.6241,,0.9165,0.4933,0.681,0.6969
s,s,b,3,0.9122,0.4949,,0.7364,0.4933,0.6721,0.0089
s,s,a,4,0.7273,0.6881,,0.942,0.5223,0.7305,0.7963
s,s,b,4,0.9136,0.5246,,0.7374,0.5223,0.7114,0.0122
s,r,a,0,0.7583,0.6548,,0.9697,0.5473,0.6753,0.8398
s,r,b,0,0.8911,0.5457,,0.8037,0.5473,0.679,-0.0121
s,r,a,1,0.7454,0.6647,,0.9868,0.5514,0.6736,0.9272
s,r,b,1,0.8919,0.5582,,0.8209,0.5514,0.68,0.0529
s,r,a,2,0.8083,0.6358,,0.9589,0.5545,0.6631,0.7486
s,r,b,2,0.9287,0.558,,0.8301,0.5545,0.6722,0.0297
s,r,a,3,0.752,0.661,,0.9902,0.5555,0.6675,0.942
s,r,b,3,0.8862,0.5566,,0.8272,0.5555,0.6729,0.0094
s,r,a,4,0.7402,0.6681,,1.0023,0.5545,0.6666,1.0134
s,r,b,4,0.8839,0.5597,,0.8322,0.5545,0.6726,0.044
